Airline,Departure,Destination,Departure_date,Arrival_date,Ticket_Price(Dollars),Stops,Travel_Time
Emirates,KTM,JFK,2023-10-09,2023-10-11,756,1,28
Qatar Airways,KTM,JFK,2023-10-09,2023-10-09,840,2,28
China Southern,KTM,JFK,2023-10-09,2023-10-09,918,1,34
China Southern,KTM,JFK,2023-10-09,2023-10-11,1680,1,35
Cathay Pacific,KTM,JFK,2023-10-09,2023-10-10,2275,2,35
Qatar Airways,KTM,JFK,2023-10-10,2023-10-13,725,2,25
Etihad,KTM,JFK,2023-10-10,2023-10-13,1380,3,30
Turkish Airlines,KTM,JFK,2023-10-10,2023-10-12,1664,2,32
China Southern,KTM,JFK,2023-10-10,2023-10-10,1978,1,43
Etihad,KTM,JFK,2023-10-10,2023-10-11,1288,1,28
Turkish Airlines,KTM,JFK,2023-10-10,2023-10-11,1612,2,31
Korean Air,KTM,JFK,2023-10-10,2023-10-12,1316,3,28
Emirates,KTM,JFK,2023-10-10,2023-10-12,1040,2,40
Etihad,KTM,JFK,2023-10-10,2023-10-10,1886,3,41
China Southern,KTM,JFK,2023-10-10,2023-10-10,1218,1,42
Etihad,KTM,JFK,2023-10-10,2023-10-13,1794,2,39
Turkish Airlines,KTM,JFK,2023-10-10,2023-10-10,1040,2,20
Turkish Airlines,KTM,JFK,2023-10-10,2023-10-12,2340,2,45
Korean Air,KTM,JFK,2023-10-10,2023-10-10,2021,1,43
Qatar Airways,KTM,JFK,2023-10-10,2023-10-10,957,2,33
Emirates,KTM,JFK,2023-10-10,2023-10-10,546,3,21
China Southern,KTM,JFK,2023-10-10,2023-10-12,1886,1,41
Cathay Pacific,KTM,JFK,2023-10-10,2023-10-13,1512,3,24
China Southern,KTM,JFK,2023-10-10,2023-10-10,1073,3,37
Qatar Airways,KTM,JFK,2023-10-10,2023-10-11,870,2,30
Korean Air,KTM,JFK,2023-10-10,2023-10-13,2209,1,47
Cathay Pacific,KTM,JFK,2023-10-10,2023-10-11,1386,3,22
Korean Air,KTM,JFK,2023-10-10,2023-10-11,1880,2,40
Emirates,KTM,JFK,2023-10-10,2023-10-10,572,1,22
Qatar Airways,KTM,JFK,2023-10-10,2023-10-11,841,1,29
China Southern,KTM,JFK,2023-10-10,2023-10-10,667,3,23
Korean Air,KTM,JFK,2023-10-10,2023-10-12,1128,3,24
Turkish Airlines,KTM,JFK,2023-10-10,2023-10-11,1248,3,24
Cathay Pacific,KTM,JFK,2023-10-10,2023-10-11,2772,1,44
Emirates,KTM,JFK,2023-10-10,2023-10-11,624,2,24
Emirates,KTM,JFK,2023-10-10,2023-10-12,962,2,37
Qatar Airways,KTM,JFK,2023-10-10,2023-10-11,696,1,24
China Southern,KTM,JFK,2023-10-10,2023-10-10,609,2,21
China Southern,KTM,JFK,2023-10-10,2023-10-10,1564,3,34
Cathay Pacific,KTM,JFK,2023-10-10,2023-10-10,1323,1,21
China Southern,KTM,JFK,2023-10-11,2023-10-12,1334,3,46
China Southern,KTM,JFK,2023-10-11,2023-10-12,1656,2,36
Korean Air,KTM,JFK,2023-10-11,2023-10-12,1739,2,37
Cathay Pacific,KTM,JFK,2023-10-11,2023-10-12,1323,2,21
Emirates,KTM,JFK,2023-10-11,2023-10-13,910,3,35
Cathay Pacific,KTM,JFK,2023-10-11,2023-10-12,1890,1,30
China Southern,KTM,JFK,2023-10-11,2023-10-12,2024,3,44
Qatar Airways,KTM,JFK,2023-10-11,2023-10-13,1218,1,42
China Southern,KTM,JFK,2023-10-11,2023-10-11,1189,2,41
Korean Air,KTM,JFK,2023-10-11,2023-10-13,1739,3,37
Korean Air,KTM,JFK,2023-10-11,2023-10-12,1833,1,39
China Southern,KTM,JFK,2023-10-11,2023-10-13,2254,2,49
China Southern,KTM,JFK,2023-10-11,2023-10-13,2070,3,45
Emirates,KTM,JFK,2023-10-11,2023-10-12,936,3,36
Etihad,KTM,JFK,2023-10-11,2023-10-14,1610,3,35
Qatar Airways,KTM,JFK,2023-10-11,2023-10-11,1276,2,44
Turkish Airlines,KTM,JFK,2023-10-11,2023-10-11,1508,1,29
Korean Air,KTM,JFK,2023-10-11,2023-10-11,2068,2,44
Qatar Airways,KTM,JFK,2023-10-11,2023-10-11,1363,3,47
China Southern,KTM,JFK,2023-10-11,2023-10-13,841,2,29
China Southern,KTM,JFK,2023-10-13,2023-10-15,1590,2,30
Emirates,KTM,JFK,2023-10-13,2023-10-14,924,1,33
Cathay Pacific,KTM,JFK,2023-10-13,2023-10-16,2516,2,37
Emirates,KTM,JFK,2023-10-13,2023-10-15,1092,3,39
Korean Air,KTM,JFK,2023-10-13,2023-10-16,2205,2,49
Korean Air,KTM,JFK,2023-10-13,2023-10-14,1125,1,25
Etihad,KTM,JFK,2023-10-13,2023-10-15,2548,3,49
Cathay Pacific,KTM,JFK,2023-10-13,2023-10-14,3060,3,45
China Southern,KTM,JFK,2023-10-13,2023-10-15,1152,2,36
Korean Air,KTM,JFK,2023-10-13,2023-10-13,1575,2,35
Qatar Airways,KTM,JFK,2023-10-13,2023-10-13,1536,1,48
Turkish Airlines,KTM,JFK,2023-10-13,2023-10-14,1888,3,32
Emirates,KTM,JFK,2023-10-13,2023-10-14,1092,2,39
Emirates,KTM,JFK,2023-10-13,2023-10-15,1120,2,40
Qatar Airways,KTM,JFK,2023-10-13,2023-10-13,832,2,26
Korean Air,KTM,JFK,2023-10-13,2023-10-16,1845,2,41
Etihad,KTM,JFK,2023-10-13,2023-10-15,1196,3,23
Turkish Airlines,KTM,JFK,2023-10-13,2023-10-13,2006,3,34
Qatar Airways,KTM,JFK,2023-10-13,2023-10-13,1088,3,34
Emirates,KTM,JFK,2023-10-13,2023-10-16,1204,2,43
Qatar Airways,KTM,JFK,2023-10-13,2023-10-15,704,2,22
Qatar Airways,KTM,JFK,2023-10-13,2023-10-14,1024,1,32
Korean Air,KTM,JFK,2023-10-13,2023-10-15,1440,2,32
China Southern,KTM,JFK,2023-10-13,2023-10-13,2491,3,47
Qatar Airways,KTM,JFK,2023-10-13,2023-10-15,672,2,21
Korean Air,KTM,JFK,2023-10-13,2023-10-16,2205,1,49
Turkish Airlines,KTM,JFK,2023-10-14,2023-10-17,1736,1,28
China Southern,KTM,JFK,2023-10-14,2023-10-15,1452,1,44
Cathay Pacific,KTM,JFK,2023-10-14,2023-10-14,1750,1,25
China Southern,KTM,JFK,2023-10-14,2023-10-15,1485,1,45
Turkish Airlines,KTM,JFK,2023-10-14,2023-10-14,1984,2,32
Korean Air,KTM,JFK,2023-10-14,2023-10-16,2112,1,44
China Southern,KTM,JFK,2023-10-14,2023-10-17,1539,3,27
Korean Air,KTM,JFK,2023-10-14,2023-10-15,1776,1,37
Qatar Airways,KTM,JFK,2023-10-14,2023-10-14,1470,1,42
Etihad,KTM,JFK,2023-10-14,2023-10-14,1392,1,29
China Southern,KTM,JFK,2023-10-14,2023-10-14,2394,1,42
Korean Air,KTM,JFK,2023-10-14,2023-10-17,1488,2,31
Qatar Airways,KTM,JFK,2023-10-14,2023-10-15,1330,3,38
Turkish Airlines,KTM,JFK,2023-10-14,2023-10-16,3100,3,50
China Southern,KTM,JFK,2023-10-14,2023-10-16,759,2,23
Cathay Pacific,KTM,JFK,2023-10-14,2023-10-15,1960,3,28
Turkish Airlines,KTM,JFK,2023-10-14,2023-10-16,2914,3,47
Emirates,KTM,JFK,2023-10-14,2023-10-16,806,1,26
Emirates,KTM,JFK,2023-10-14,2023-10-17,992,2,32
Emirates,KTM,JFK,2023-10-14,2023-10-16,961,3,31
Qatar Airways,KTM,JFK,2023-10-14,2023-10-17,735,3,21
Korean Air,KTM,JFK,2023-10-14,2023-10-16,1920,2,40
Korean Air,KTM,JFK,2023-10-14,2023-10-14,1488,1,31
Qatar Airways,KTM,JFK,2023-10-14,2023-10-14,1610,1,46
Turkish Airlines,KTM,JFK,2023-10-14,2023-10-17,1550,2,25
Turkish Airlines,KTM,JFK,2023-10-17,2023-10-20,1475,1,25
China Southern,KTM,JFK,2023-10-17,2023-10-19,1054,3,34
Cathay Pacific,KTM,JFK,2023-10-17,2023-10-20,2535,2,39
China Southern,KTM,JFK,2023-10-17,2023-10-17,1302,3,42
Turkish Airlines,KTM,JFK,2023-10-17,2023-10-19,1180,1,20
Korean Air,KTM,JFK,2023-10-17,2023-10-17,1188,3,27
China Southern,KTM,JFK,2023-10-17,2023-10-18,1802,2,34
Korean Air,KTM,JFK,2023-10-17,2023-10-17,2200,1,50
Qatar Airways,KTM,JFK,2023-10-17,2023-10-19,1080,3,36
Etihad,KTM,JFK,2023-10-17,2023-10-17,1176,2,28
China Southern,KTM,JFK,2023-10-17,2023-10-20,1272,1,24
Korean Air,KTM,JFK,2023-10-17,2023-10-18,1760,3,40
Qatar Airways,KTM,JFK,2023-10-17,2023-10-17,1170,3,39
Turkish Airlines,KTM,JFK,2023-10-17,2023-10-20,2065,3,35
China Southern,KTM,JFK,2023-10-17,2023-10-17,806,2,26
Cathay Pacific,KTM,JFK,2023-10-17,2023-10-18,2275,3,35
Turkish Airlines,KTM,JFK,2023-10-17,2023-10-18,1180,2,20
Emirates,KTM,JFK,2023-10-17,2023-10-18,918,2,34
Emirates,KTM,JFK,2023-10-17,2023-10-18,999,2,37
Emirates,KTM,JFK,2023-10-17,2023-10-17,648,2,24
Qatar Airways,KTM,JFK,2023-10-17,2023-10-20,1170,3,39
Korean Air,KTM,JFK,2023-10-17,2023-10-18,1452,2,33
Korean Air,KTM,JFK,2023-10-17,2023-10-18,880,3,20
Qatar Airways,KTM,JFK,2023-10-17,2023-10-18,1470,2,49
Turkish Airlines,KTM,JFK,2023-10-17,2023-10-20,2478,3,42
China Southern,KTM,JFK,2023-10-19,2023-10-23,1224,3,34
Qatar Airways,KTM,JFK,2023-10-19,2023-10-20,957,2,29
Cathay Pacific,KTM,JFK,2023-10-19,2023-10-20,2312,1,34
Korean Air,KTM,JFK,2023-10-19,2023-10-23,1316,1,28
Etihad,KTM,JFK,2023-10-19,2023-10-22,1530,3,34
Emirates,KTM,JFK,2023-10-19,2023-10-23,810,1,27
Etihad,KTM,JFK,2023-10-19,2023-10-19,1665,3,37
Etihad,KTM,JFK,2023-10-19,2023-10-22,2115,2,47
Korean Air,KTM,JFK,2023-10-19,2023-10-20,1833,1,39
China Southern,KTM,JFK,2023-10-19,2023-10-23,2296,2,41
Korean Air,KTM,JFK,2023-10-19,2023-10-19,1645,3,35
Etihad,KTM,JFK,2023-10-19,2023-10-19,2205,1,49
Turkish Airlines,KTM,JFK,2023-10-19,2023-10-20,2501,2,41
Cathay Pacific,KTM,JFK,2023-10-19,2023-10-19,2312,1,34
Turkish Airlines,KTM,JFK,2023-10-19,2023-10-22,2440,1,40
Turkish Airlines,KTM,JFK,2023-10-19,2023-10-19,1830,3,30
Qatar Airways,KTM,JFK,2023-10-19,2023-10-21,1419,3,43
Emirates,KTM,JFK,2023-10-19,2023-10-22,600,2,20
China Southern,KTM,JFK,2023-10-19,2023-10-20,2240,1,40
Korean Air,KTM,JFK,2023-10-19,2023-10-22,2162,1,46
Cathay Pacific,KTM,JFK,2023-10-19,2023-10-19,1428,2,21
Turkish Airlines,KTM,JFK,2023-10-19,2023-10-22,2379,3,39
Cathay Pacific,KTM,JFK,2023-10-19,2023-10-19,1496,2,22
Qatar Airways,KTM,JFK,2023-10-19,2023-10-19,1320,3,40
China Southern,KTM,JFK,2023-10-19,2023-10-23,1568,1,28
Cathay Pacific,KTM,JFK,2023-10-19,2023-10-22,2380,2,35
Korean Air,KTM,JFK,2023-10-19,2023-10-19,2162,3,46
Emirates,KTM,JFK,2023-10-19,2023-10-21,960,1,32
Etihad,KTM,JFK,2023-10-19,2023-10-19,1755,3,39
Qatar Airways,KTM,JFK,2023-10-19,2023-10-22,990,1,30
Emirates,KTM,JFK,2023-10-19,2023-10-20,900,3,30
China Southern,KTM,JFK,2023-10-19,2023-10-23,1344,1,24
Turkish Airlines,KTM,JFK,2023-10-19,2023-10-21,1708,3,28
China Southern,KTM,JFK,2023-10-19,2023-10-22,756,2,21
Emirates,KTM,JFK,2023-10-19,2023-10-20,600,2,20
Qatar Airways,KTM,JFK,2023-10-19,2023-10-19,1419,2,43
China Southern,KTM,JFK,2023-10-19,2023-10-20,1044,1,29
China Southern,KTM,JFK,2023-10-19,2023-10-21,1368,1,38
China Southern,KTM,JFK,2023-10-19,2023-10-21,1624,1,29
China Southern,KTM,JFK,2023-10-19,2023-10-22,1728,3,48
Cathay Pacific,KTM,JFK,2023-10-23,2023-10-24,2001,2,29
China Southern,KTM,JFK,2023-10-23,2023-10-25,1705,2,31
China Southern,KTM,JFK,2023-10-23,2023-10-24,1650,3,30
Cathay Pacific,KTM,JFK,2023-10-23,2023-10-24,3174,2,46
Emirates,KTM,JFK,2023-10-23,2023-10-23,928,1,29
Etihad,KTM,JFK,2023-10-23,2023-10-24,1610,3,35
China Southern,KTM,JFK,2023-10-23,2023-10-25,2310,3,42
Emirates,KTM,JFK,2023-10-23,2023-10-25,1376,3,43
Qatar Airways,KTM,JFK,2023-10-23,2023-10-23,777,1,21
Korean Air,KTM,JFK,2023-10-23,2023-10-25,1392,3,29
China Southern,KTM,JFK,2023-10-23,2023-10-24,1170,1,30
China Southern,KTM,JFK,2023-10-23,2023-10-26,1599,2,41
Emirates,KTM,JFK,2023-10-23,2023-10-26,1568,2,49
Emirates,KTM,JFK,2023-10-23,2023-10-23,1312,3,41
Emirates,KTM,JFK,2023-10-23,2023-10-25,1088,1,34
Etihad,KTM,JFK,2023-10-23,2023-10-26,1748,3,38
Qatar Airways,KTM,JFK,2023-10-23,2023-10-23,1665,3,45
Turkish Airlines,KTM,JFK,2023-10-23,2023-10-26,1984,1,32
China Southern,KTM,JFK,2023-10-23,2023-10-24,1375,1,25
Qatar Airways,KTM,JFK,2023-10-23,2023-10-24,1739,1,47
China Southern,KTM,JFK,2023-10-23,2023-10-25,1872,3,48
Korean Air,KTM,JFK,2023-10-27,2023-10-26,1980,1,44
Emirates,KTM,JFK,2023-10-27,2023-10-27,924,3,33
Cathay Pacific,KTM,JFK,2023-10-27,2023-10-25,3128,3,46
Emirates,KTM,JFK,2023-10-27,2023-10-27,1092,1,39
Korean Air,KTM,JFK,2023-10-27,2023-10-27,1080,3,24
Turkish Airlines,KTM,JFK,2023-10-27,2023-10-25,2478,3,42
Etihad,KTM,JFK,2023-10-27,2023-10-25,1196,3,23
Korean Air,KTM,JFK,2023-10-27,2023-10-26,1035,1,23
Cathay Pacific,KTM,JFK,2023-10-27,2023-10-27,2992,2,44
Etihad,KTM,JFK,2023-10-27,2023-10-26,1352,1,26
Turkish Airlines,KTM,JFK,2023-10-27,2023-10-26,1475,3,25
Emirates,KTM,JFK,2023-10-27,2023-10-25,728,1,26
China Southern,KTM,JFK,2023-10-27,2023-10-26,1056,1,33
China Southern,KTM,JFK,2023-10-27,2023-10-25,2067,1,39
Qatar Airways,KTM,JFK,2023-10-27,2023-10-26,928,3,29
China Southern,KTM,JFK,2023-10-27,2023-10-25,1802,3,34
Etihad,KTM,JFK,2023-10-27,2023-10-27,1560,1,30
Korean Air,KTM,JFK,2023-10-27,2023-10-24,1800,3,40
Emirates,KTM,JFK,2023-10-27,2023-10-24,1120,3,40
Qatar Airways,KTM,JFK,2023-10-27,2023-10-25,800,2,25
Etihad,KTM,JFK,2023-10-27,2023-10-26,1612,3,31
China Southern,KTM,JFK,2023-10-27,2023-10-24,1376,2,43
Turkish Airlines,KTM,JFK,2023-10-27,2023-10-27,1298,3,22
Etihad,KTM,JFK,2023-10-27,2023-10-24,2548,2,49
Qatar Airways,KTM,JFK,2023-10-27,2023-10-27,1504,1,47
Emirates,KTM,JFK,2023-10-27,2023-10-27,1148,3,41
Qatar Airways,KTM,JFK,2023-10-27,2023-10-25,1536,1,48
Qatar Airways,KTM,JFK,2023-10-27,2023-10-26,1344,2,42
China Southern,KTM,JFK,2023-10-27,2023-10-27,1590,3,30
China Southern,KTM,JFK,2023-10-27,2023-10-26,1643,1,31
Qatar Airways,KTM,JFK,2023-10-27,2023-10-24,768,2,24
Korean Air,KTM,JFK,2023-10-27,2023-10-27,1305,3,29
Turkish Airlines,KTM,JFK,2023-10-26,2023-10-27,2596,3,44
China Southern,KTM,JFK,2023-10-26,2023-10-27,1113,1,21
Cathay Pacific,KTM,JFK,2023-10-26,2023-10-26,1904,3,28
China Southern,KTM,JFK,2023-10-26,2023-10-29,2438,3,46
Turkish Airlines,KTM,JFK,2023-10-26,2023-10-29,1416,3,24
Etihad,KTM,JFK,2023-10-26,2023-10-26,2548,3,49
China Southern,KTM,JFK,2023-10-26,2023-10-29,736,2,23
Turkish Airlines,KTM,JFK,2023-10-26,2023-10-26,2714,2,46
Cathay Pacific,KTM,JFK,2023-10-26,2023-10-28,2924,1,43
Etihad,KTM,JFK,2023-10-26,2023-10-26,1456,2,28
Etihad,KTM,JFK,2023-10-26,2023-10-29,1872,3,36
China Southern,KTM,JFK,2023-10-26,2023-10-26,1643,1,31
China Southern,KTM,JFK,2023-10-26,2023-10-27,1376,3,43
Korean Air,KTM,JFK,2023-10-26,2023-10-27,1620,2,36
Emirates,KTM,JFK,2023-10-26,2023-10-28,1344,3,48
Korean Air,KTM,JFK,2023-10-26,2023-10-28,1125,2,25
China Southern,KTM,JFK,2023-10-26,2023-10-29,1472,1,46
Korean Air,KTM,JFK,2023-10-26,2023-10-29,2025,2,45
Emirates,KTM,JFK,2023-10-26,2023-10-26,1008,2,36
Qatar Airways,KTM,JFK,2023-10-26,2023-10-28,1472,1,46
Etihad,KTM,JFK,2023-10-26,2023-10-29,2444,2,47
China Southern,KTM,JFK,2023-10-26,2023-10-27,1472,2,46
Etihad,KTM,JFK,2023-10-26,2023-10-27,1456,1,28
Emirates,KTM,JFK,2023-10-26,2023-10-29,868,2,31
