,Airline,Departure,Destination,Departure_date,Arrival_date,Ticket_Price(Dollars),Stops,Travel_Time,Seasons,Day_of_the_week,is_weekend,Flight_Class
78,Air India,New Delhi,Sydney,2023-10-01,2023-10-02,1521.0,2,13,Autumn,Sunday,True,First
79,Air India,New Delhi,Sydney,2023-10-01,2023-10-01,3276.0,1,28,Autumn,Sunday,True,First
80,THAI,New Delhi,Sydney,2023-10-01,2023-10-02,1092.0,0,14,Autumn,Sunday,True,First
81,Cathay Pacific,New Delhi,Sydney,2023-10-01,2023-10-01,2460.0,1,15,Autumn,Sunday,True,First
82,SriLankan Airlines,New Delhi,Sydney,2023-10-01,2023-10-01,1276.0,1,22,Autumn,Sunday,True,First
83,SriLankan Airlines,New Delhi,Sydney,2023-10-01,2023-10-02,1798.0,2,31,Autumn,Sunday,True,First
84,Cathay Pacific,New Delhi,Sydney,2023-10-01,2023-10-02,4100.0,1,25,Autumn,Sunday,True,First
85,Air India,New Delhi,Sydney,2023-10-01,2023-10-02,2691.0,2,23,Autumn,Sunday,True,First
86,Cathay Pacific,New Delhi,Sydney,2023-10-01,2023-10-02,3280.0,1,20,Autumn,Sunday,True,First
87,Cathay Pacific,New Delhi,Sydney,2023-10-01,2023-10-02,5248.0,2,32,Autumn,Sunday,True,First
88,Air India,New Delhi,Sydney,2023-10-01,2023-10-02,1872.0,2,16,Autumn,Sunday,True,First
89,Air India,New Delhi,Sydney,2023-10-01,2023-10-01,4095.0,0,35,Autumn,Sunday,True,First
90,Cathay Pacific,New Delhi,Sydney,2023-10-01,2023-10-02,3444.0,2,21,Autumn,Sunday,True,First
91,THAI,New Delhi,Sydney,2023-10-01,2023-10-01,1638.0,2,21,Autumn,Sunday,True,First
92,Cathay Pacific,Sydney,Beijing,2023-10-01,2023-10-02,1044.0,1,36,Autumn,Sunday,True,First
93,Singapore Airlines,Sydney,Beijing,2023-10-01,2023-10-02,672.0,2,32,Autumn,Sunday,True,Business
94,Qantas,Sydney,Beijing,2023-10-01,2023-10-02,1148.0,1,41,Autumn,Sunday,True,First
95,China Eastern,Sydney,Beijing,2023-10-01,2023-10-01,1470.0,0,42,Autumn,Sunday,True,First
96,China Southern,Sydney,Beijing,2023-10-01,2023-10-01,280.0,1,20,Autumn,Sunday,True,Economy
97,China Southern,Sydney,Beijing,2023-10-01,2023-10-01,336.0,2,24,Autumn,Sunday,True,Economy
98,Qantas,Sydney,Beijing,2023-10-01,2023-10-01,756.0,0,27,Autumn,Sunday,True,Business
99,China Eastern,Sydney,Beijing,2023-10-01,2023-10-02,525.0,0,15,Autumn,Sunday,True,Business
100,Qantas,Sydney,Beijing,2023-10-01,2023-10-02,1204.0,1,43,Autumn,Sunday,True,First
101,Korean Air,Sydney,Beijing,2023-10-01,2023-10-02,1148.0,1,41,Autumn,Sunday,True,First
102,Qantas,Sydney,Beijing,2023-10-01,2023-10-01,728.0,1,26,Autumn,Sunday,True,Business
103,China Southern,Sydney,Beijing,2023-10-01,2023-10-01,378.0,0,27,Autumn,Sunday,True,Economy
104,China Eastern,Sydney,Beijing,2023-10-01,2023-10-02,910.0,1,26,Autumn,Sunday,True,Business
105,Qantas,Sydney,Beijing,2023-10-01,2023-10-02,700.0,2,25,Autumn,Sunday,True,Business
106,Korean Air,Sydney,Beijing,2023-10-01,2023-10-01,1064.0,1,38,Autumn,Sunday,True,First
107,China Eastern,Sydney,Beijing,2023-10-01,2023-10-02,665.0,1,19,Autumn,Sunday,True,Business
108,China Eastern,Sydney,Beijing,2023-10-01,2023-10-01,945.0,0,27,Autumn,Sunday,True,Business
109,Qantas,Sydney,Beijing,2023-10-01,2023-10-02,924.0,1,33,Autumn,Sunday,True,Business
110,Cathay Pacific,Sydney,Beijing,2023-10-01,2023-10-01,464.0,1,16,Autumn,Sunday,True,Economy
111,China Southern,Sydney,Beijing,2023-10-01,2023-10-01,336.0,0,24,Autumn,Sunday,True,Economy
112,China Southern,Sydney,Beijing,2023-10-01,2023-10-01,364.0,1,26,Autumn,Sunday,True,Economy
113,Qantas,Sydney,Beijing,2023-10-01,2023-10-02,1120.0,1,40,Autumn,Sunday,True,First
114,Singapore Airlines,Sydney,Beijing,2023-10-01,2023-10-01,672.0,0,32,Autumn,Sunday,True,Business
115,Qantas,Sydney,Beijing,2023-10-01,2023-10-01,588.0,0,21,Autumn,Sunday,True,Business
116,China Eastern,Sydney,Beijing,2023-10-01,2023-10-01,630.0,2,18,Autumn,Sunday,True,Business
117,Cathay Pacific,Sydney,Beijing,2023-10-01,2023-10-01,1218.0,1,42,Autumn,Sunday,True,First
118,China Southern,Sydney,Beijing,2023-10-01,2023-10-01,490.0,0,35,Autumn,Sunday,True,Economy
119,Korean Air,Sydney,Beijing,2023-10-01,2023-10-02,980.0,2,35,Autumn,Sunday,True,Business
120,Qantas,Sydney,Beijing,2023-10-01,2023-10-02,784.0,2,28,Autumn,Sunday,True,Business
121,China Southern,Sydney,Beijing,2023-10-01,2023-10-01,434.0,2,31,Autumn,Sunday,True,Economy
122,China Eastern,Sydney,Beijing,2023-10-01,2023-10-01,770.0,2,22,Autumn,Sunday,True,Business
123,Cathay Pacific,Sydney,Beijing,2023-10-01,2023-10-02,754.0,1,26,Autumn,Sunday,True,Business
124,Cathay Pacific,Sydney,Beijing,2023-10-01,2023-10-01,986.0,0,34,Autumn,Sunday,True,Business
125,Qantas,Sydney,Beijing,2023-10-01,2023-10-02,784.0,2,28,Autumn,Sunday,True,Business
126,Korean Air,Sydney,Beijing,2023-10-01,2023-10-02,420.0,0,15,Autumn,Sunday,True,Economy
127,China Southern,Sydney,Beijing,2023-10-01,2023-10-02,350.0,1,25,Autumn,Sunday,True,Economy
128,Cathay Pacific,Sydney,Beijing,2023-10-01,2023-10-02,696.0,2,24,Autumn,Sunday,True,Business
129,China Eastern,Sydney,Beijing,2023-10-01,2023-10-02,1120.0,0,32,Autumn,Sunday,True,First
130,China Eastern,Sydney,Beijing,2023-10-01,2023-10-02,700.0,2,20,Autumn,Sunday,True,Business
131,China Southern,Sydney,Beijing,2023-10-01,2023-10-02,280.0,1,20,Autumn,Sunday,True,Economy
132,China Eastern,Sydney,Beijing,2023-10-01,2023-10-02,560.0,0,16,Autumn,Sunday,True,Business
133,China Eastern,Beijing,Kathmandu,2023-10-01,2023-10-02,3318.0,2,42,Autumn,Sunday,True,First
134,China Southern,Beijing,Kathmandu,2023-10-01,2023-10-01,1140.0,2,38,Autumn,Sunday,True,First
135,Qatar Airways,Beijing,Kathmandu,2023-10-01,2023-10-02,8600.0,2,43,Autumn,Sunday,True,First
136,China Southern,Beijing,Kathmandu,2023-10-01,2023-10-01,990.0,1,33,Autumn,Sunday,True,Business
137,China Eastern,Beijing,Kathmandu,2023-10-01,2023-10-02,3318.0,0,42,Autumn,Sunday,True,First
138,China Eastern,Beijing,Kathmandu,2023-10-01,2023-10-02,2923.0,1,37,Autumn,Sunday,True,First
139,Qatar Airways,Beijing,Kathmandu,2023-10-01,2023-10-02,6800.0,2,34,Autumn,Sunday,True,First
140,China Eastern,Beijing,Kathmandu,2023-10-01,2023-10-02,2528.0,1,32,Autumn,Sunday,True,First
141,Qatar Airways,Beijing,Kathmandu,2023-10-01,2023-10-01,9000.0,2,45,Autumn,Sunday,True,First
142,China Eastern,Beijing,Kathmandu,2023-10-01,2023-10-02,1343.0,0,17,Autumn,Sunday,True,First
143,China Eastern,Beijing,Kathmandu,2023-10-01,2023-10-01,1501.0,0,19,Autumn,Sunday,True,First
144,China Southern,Beijing,Kathmandu,2023-10-01,2023-10-01,1200.0,2,40,Autumn,Sunday,True,First
145,Qatar Airways,Beijing,Kathmandu,2023-10-01,2023-10-02,4800.0,1,24,Autumn,Sunday,True,First
146,China Southern,Beijing,Kathmandu,2023-10-01,2023-10-02,960.0,1,32,Autumn,Sunday,True,Business
147,China Southern,Beijing,Kathmandu,2023-10-01,2023-10-01,480.0,0,16,Autumn,Sunday,True,Economy
148,China Southern,Beijing,Kathmandu,2023-10-01,2023-10-02,1140.0,1,38,Autumn,Sunday,True,First
149,China Eastern,Beijing,Kathmandu,2023-10-01,2023-10-01,2528.0,0,32,Autumn,Sunday,True,First
150,China Eastern,Beijing,Kathmandu,2023-10-01,2023-10-02,1738.0,1,22,Autumn,Sunday,True,First
151,China Southern,Beijing,Kathmandu,2023-10-01,2023-10-01,1170.0,0,39,Autumn,Sunday,True,First
152,China Southern,Beijing,Kathmandu,2023-10-01,2023-10-02,990.0,1,33,Autumn,Sunday,True,Business
153,China Eastern,Beijing,Kathmandu,2023-10-01,2023-10-01,3397.0,2,43,Autumn,Sunday,True,First
154,Qatar Airways,Beijing,Kathmandu,2023-10-01,2023-10-01,6800.0,1,34,Autumn,Sunday,True,First
155,China Eastern,Beijing,Kathmandu,2023-10-01,2023-10-01,3002.0,0,38,Autumn,Sunday,True,First
156,China Eastern,Beijing,Kathmandu,2023-10-01,2023-10-01,1343.0,1,17,Autumn,Sunday,True,First
157,China Southern,Beijing,Kathmandu,2023-10-01,2023-10-01,690.0,1,23,Autumn,Sunday,True,Business
158,China Southern,Beijing,Kathmandu,2023-10-01,2023-10-01,450.0,0,15,Autumn,Sunday,True,Economy
159,China Southern,Beijing,Kathmandu,2023-10-01,2023-10-01,840.0,2,28,Autumn,Sunday,True,Business
160,China Southern,Beijing,Kathmandu,2023-10-01,2023-10-01,1350.0,0,45,Autumn,Sunday,True,First
161,China Southern,Beijing,Kathmandu,2023-10-01,2023-10-02,540.0,0,18,Autumn,Sunday,True,Business
162,China Southern,Beijing,Kathmandu,2023-10-01,2023-10-02,1080.0,2,36,Autumn,Sunday,True,First
163,China Southern,Beijing,Kathmandu,2023-10-01,2023-10-01,570.0,2,19,Autumn,Sunday,True,Business
164,China Eastern,Beijing,Kathmandu,2023-10-01,2023-10-02,3555.0,0,45,Autumn,Sunday,True,First
165,Luxiar,Paris,London,2023-10-02,2023-10-03,418.0,0,22,Autumn,Monday,False,Economy
166,Air France,Paris,London,2023-10-02,2023-10-02,300.0,1,20,Autumn,Monday,False,Economy
167,Easy Jet,Paris,London,2023-10-02,2023-10-02,4500.0,1,30,Autumn,Monday,False,First
168,Lufthansa,Paris,London,2023-10-02,2023-10-02,744.0,1,24,Autumn,Monday,False,Business
169,Air France,Paris,London,2023-10-02,2023-10-03,375.0,1,25,Autumn,Monday,False,Economy
170,Lufthansa,Paris,London,2023-10-02,2023-10-04,589.0,1,19,Autumn,Monday,False,Business
171,Lufthansa,Paris,London,2023-10-02,2023-10-02,682.0,2,22,Autumn,Monday,False,Business
172,Luxiar,Paris,London,2023-10-02,2023-10-02,570.0,2,30,Autumn,Monday,False,Business
173,Luxiar,Paris,London,2023-10-02,2023-10-04,285.0,0,15,Autumn,Monday,False,Economy
174,Vueling,Paris,London,2023-10-02,2023-10-03,1998.0,2,18,Autumn,Monday,False,First
175,SWISS,Paris,London,2023-10-02,2023-10-02,684.0,1,19,Autumn,Monday,False,Business
176,Luxiar,Paris,London,2023-10-02,2023-10-04,513.0,2,27,Autumn,Monday,False,Business
177,Vueling,Paris,London,2023-10-02,2023-10-04,2331.0,0,21,Autumn,Monday,False,First
178,SWISS,Paris,London,2023-10-02,2023-10-04,1044.0,0,29,Autumn,Monday,False,First
179,Easy Jet,Paris,London,2023-10-02,2023-10-04,3000.0,2,20,Autumn,Monday,False,First
180,SWISS,Paris,London,2023-10-02,2023-10-04,828.0,1,23,Autumn,Monday,False,Business
181,Lufthansa,Paris,London,2023-10-02,2023-10-02,496.0,0,16,Autumn,Monday,False,Economy
182,Vueling,Paris,London,2023-10-02,2023-10-02,2886.0,0,26,Autumn,Monday,False,First
183,Easy Jet,Paris,London,2023-10-02,2023-10-02,3900.0,0,26,Autumn,Monday,False,First
184,Easy Jet,Paris,London,2023-10-02,2023-10-02,4500.0,2,30,Autumn,Monday,False,First
185,Air France,Paris,London,2023-10-02,2023-10-03,255.0,1,17,Autumn,Monday,False,Economy
186,Lufthansa,Paris,London,2023-10-02,2023-10-02,713.0,1,23,Autumn,Monday,False,Business
187,Vueling,Paris,London,2023-10-02,2023-10-03,3330.0,2,30,Autumn,Monday,False,First
188,Luxiar,Paris,London,2023-10-02,2023-10-03,475.0,0,25,Autumn,Monday,False,Economy
189,Easy Jet,Paris,London,2023-10-02,2023-10-04,3450.0,1,23,Autumn,Monday,False,First
190,SWISS,Paris,London,2023-10-02,2023-10-04,540.0,0,15,Autumn,Monday,False,Business
191,Air France,Paris,London,2023-10-02,2023-10-04,285.0,2,19,Autumn,Monday,False,Economy
192,Air France,Paris,London,2023-10-02,2023-10-04,270.0,1,18,Autumn,Monday,False,Economy
193,Vueling,Paris,London,2023-10-02,2023-10-02,2331.0,0,21,Autumn,Monday,False,First
194,Easy Jet,Paris,London,2023-10-02,2023-10-02,3600.0,2,24,Autumn,Monday,False,First
195,Easy Jet,Paris,London,2023-10-02,2023-10-03,4500.0,2,30,Autumn,Monday,False,First
196,SWISS,Paris,London,2023-10-02,2023-10-02,720.0,1,20,Autumn,Monday,False,Business
197,Easy Jet,Paris,London,2023-10-02,2023-10-04,4500.0,2,30,Autumn,Monday,False,First
198,Luxiar,Paris,London,2023-10-02,2023-10-04,323.0,0,17,Autumn,Monday,False,Economy
199,Lufthansa,Paris,London,2023-10-02,2023-10-04,806.0,1,26,Autumn,Monday,False,Business
200,Lufthansa,Paris,London,2023-10-02,2023-10-04,775.0,0,25,Autumn,Monday,False,Business
201,Lufthansa,Paris,London,2023-10-02,2023-10-04,620.0,0,20,Autumn,Monday,False,Business
202,Lufthansa,Paris,London,2023-10-02,2023-10-03,527.0,1,17,Autumn,Monday,False,Business
203,Lufthansa,Paris,London,2023-10-02,2023-10-04,868.0,0,28,Autumn,Monday,False,Business
204,Vueling,Paris,London,2023-10-02,2023-10-04,3330.0,2,30,Autumn,Monday,False,First
205,SWISS,Paris,London,2023-10-02,2023-10-03,1080.0,2,30,Autumn,Monday,False,First
206,Air France,Paris,London,2023-10-02,2023-10-02,315.0,2,21,Autumn,Monday,False,Economy
207,Lufthansa,Paris,London,2023-10-02,2023-10-04,930.0,1,30,Autumn,Monday,False,Business
208,Air France,Paris,London,2023-10-02,2023-10-04,420.0,1,28,Autumn,Monday,False,Economy
209,Air France,Paris,London,2023-10-02,2023-10-04,420.0,1,28,Autumn,Monday,False,Economy
210,SWISS,Paris,London,2023-10-02,2023-10-02,1044.0,1,29,Autumn,Monday,False,First
211,Easy Jet,Paris,London,2023-10-02,2023-10-03,4200.0,2,28,Autumn,Monday,False,First
212,SWISS,Paris,London,2023-10-02,2023-10-03,1044.0,2,29,Autumn,Monday,False,First
213,Lufthansa,Paris,London,2023-10-02,2023-10-03,651.0,0,21,Autumn,Monday,False,Business
214,Air France,Paris,London,2023-10-02,2023-10-03,345.0,1,23,Autumn,Monday,False,Economy
215,Air France,Paris,London,2023-10-02,2023-10-04,255.0,1,17,Autumn,Monday,False,Economy
216,Lufthansa,Paris,London,2023-10-02,2023-10-03,775.0,2,25,Autumn,Monday,False,Business
217,Lufthansa,Paris,London,2023-10-02,2023-10-03,899.0,2,29,Autumn,Monday,False,Business
218,Luxiar,Paris,London,2023-10-02,2023-10-04,437.0,1,23,Autumn,Monday,False,Economy
219,Vueling,Paris,London,2023-10-02,2023-10-03,1998.0,1,18,Autumn,Monday,False,First
220,Lufthansa,Paris,London,2023-10-02,2023-10-02,589.0,2,19,Autumn,Monday,False,Business
221,SWISS,Paris,London,2023-10-02,2023-10-03,756.0,1,21,Autumn,Monday,False,Business
222,Brusseis,Paris,Berlin,2023-10-02,2023-10-02,506.0,0,22,Autumn,Monday,False,Business
223,Austrian,Paris,Berlin,2023-10-02,2023-10-02,304.0,0,16,Autumn,Monday,False,Economy
224,Lufthansa,Paris,Berlin,2023-10-02,2023-10-02,483.0,1,23,Autumn,Monday,False,Economy
225,Lufthansa,Paris,Berlin,2023-10-02,2023-10-02,420.0,0,20,Autumn,Monday,False,Economy
226,Easy Jet,Paris,Berlin,2023-10-02,2023-10-02,1280.0,1,20,Autumn,Monday,False,First
227,Austrian,Paris,Berlin,2023-10-02,2023-10-02,304.0,1,16,Autumn,Monday,False,Economy
228,Brusseis,Paris,Berlin,2023-10-02,2023-10-02,529.0,1,23,Autumn,Monday,False,Business
229,Brusseis,Paris,Berlin,2023-10-02,2023-10-02,552.0,0,24,Autumn,Monday,False,Business
230,Lufthansa,Paris,Berlin,2023-10-02,2023-10-02,420.0,1,20,Autumn,Monday,False,Economy
231,Austrian,Paris,Berlin,2023-10-02,2023-10-02,380.0,0,20,Autumn,Monday,False,Economy
232,Lufthansa,Paris,Berlin,2023-10-02,2023-10-02,462.0,0,22,Autumn,Monday,False,Economy
233,Lufthansa,Paris,Berlin,2023-10-02,2023-10-02,357.0,0,17,Autumn,Monday,False,Economy
234,Easy Jet,Paris,Berlin,2023-10-02,2023-10-02,1024.0,0,16,Autumn,Monday,False,First
235,SWISS,Paris,Berlin,2023-10-02,2023-10-02,1704.0,0,24,Autumn,Monday,False,First
236,Lufthansa,Paris,Berlin,2023-10-02,2023-10-02,504.0,1,24,Autumn,Monday,False,Business
237,Austrian,Paris,Berlin,2023-10-02,2023-10-02,456.0,0,24,Autumn,Monday,False,Economy
238,Lufthansa,Paris,Berlin,2023-10-02,2023-10-02,399.0,0,19,Autumn,Monday,False,Economy
239,Austrian,Paris,Berlin,2023-10-02,2023-10-02,342.0,1,18,Autumn,Monday,False,Economy
240,Lufthansa,Paris,Berlin,2023-10-02,2023-10-02,336.0,0,16,Autumn,Monday,False,Economy
241,Easy Jet,Paris,Berlin,2023-10-02,2023-10-02,1472.0,1,23,Autumn,Monday,False,First
242,Brusseis,Paris,Berlin,2023-10-02,2023-10-02,368.0,1,16,Autumn,Monday,False,Economy
243,Easy Jet,Paris,Berlin,2023-10-02,2023-10-02,1152.0,0,18,Autumn,Monday,False,First
244,SWISS,Paris,Berlin,2023-10-02,2023-10-02,1136.0,0,16,Autumn,Monday,False,First
245,Austrian,Paris,Berlin,2023-10-02,2023-10-02,380.0,0,20,Autumn,Monday,False,Economy
246,Austrian,Paris,Berlin,2023-10-02,2023-10-02,342.0,0,18,Autumn,Monday,False,Economy
247,Austrian,Paris,Berlin,2023-10-02,2023-10-02,399.0,0,21,Autumn,Monday,False,Economy
248,Easy Jet,Paris,Berlin,2023-10-02,2023-10-02,1088.0,0,17,Autumn,Monday,False,First
249,Easy Jet,Paris,Berlin,2023-10-02,2023-10-02,1088.0,1,17,Autumn,Monday,False,First
250,SWISS,Paris,Berlin,2023-10-02,2023-10-02,1491.0,1,21,Autumn,Monday,False,First
251,Easy Jet,Paris,Berlin,2023-10-02,2023-10-02,1024.0,1,16,Autumn,Monday,False,First
252,Brusseis,Paris,Berlin,2023-10-02,2023-10-02,414.0,0,18,Autumn,Monday,False,Economy
253,SWISS,Paris,Berlin,2023-10-02,2023-10-02,1633.0,1,23,Autumn,Monday,False,First
254,Lufthansa,Paris,Berlin,2023-10-02,2023-10-02,378.0,1,18,Autumn,Monday,False,Economy
255,Lufthansa,Paris,Berlin,2023-10-02,2023-10-02,462.0,1,22,Autumn,Monday,False,Economy
