,Airline,Departure,Destination,Departure_date,Arrival_date,Ticket_Price(Dollars),Stops,Travel_Time,seasons,Day_of_the_week
99,Emirates,KTM,JFK,2023-10-06,2023-10-07,1170,2,39,Autumn,Friday
100,Qatar Airways,KTM,JFK,2023-10-06,2023-10-06,816,2,24,Autumn,Friday
101,China Southern,KTM,JFK,2023-10-06,2023-10-07,1504,3,47,Autumn,Friday
102,Korean Air,KTM,JFK,2023-10-06,2023-10-07,1890,1,42,Autumn,Friday
103,Turkish Airlines,KTM,JFK,2023-10-06,2023-10-08,1357,3,23,Autumn,Friday
104,Cathay Pacific,KTM,JFK,2023-10-06,2023-10-06,3196,1,47,Autumn,Friday
105,Emirates,KTM,JFK,2023-10-06,2023-10-07,690,2,23,Autumn,Friday
106,Emirates,KTM,JFK,2023-10-06,2023-10-07,930,2,31,Autumn,Friday
107,Qatar Airways,KTM,JFK,2023-10-06,2023-10-07,1224,1,36,Autumn,Friday
108,China Southern,KTM,JFK,2023-10-06,2023-10-09,1312,2,41,Autumn,Friday
109,China Southern,KTM,JFK,2023-10-06,2023-10-08,1166,2,22,Autumn,Friday
110,Cathay Pacific,KTM,JFK,2023-10-06,2023-10-08,1700,3,25,Autumn,Friday
111,Qatar Airways,KTM,JFK,2023-10-09,2023-10-11,1470,3,49,Autumn,Monday
112,Etihad,KTM,JFK,2023-10-09,2023-10-10,1862,2,38,Autumn,Monday
113,Turkish Airlines,KTM,JFK,2023-10-09,2023-10-11,1925,1,35,Autumn,Monday
114,China Southern,KTM,JFK,2023-10-09,2023-10-10,2400,1,50,Autumn,Monday
115,Etihad,KTM,JFK,2023-10-09,2023-10-10,1617,1,33,Autumn,Monday
116,Turkish Airlines,KTM,JFK,2023-10-09,2023-10-11,1320,1,24,Autumn,Monday
117,Korean Air,KTM,JFK,2023-10-09,2023-10-09,1617,3,33,Autumn,Monday
118,Emirates,KTM,JFK,2023-10-09,2023-10-11,1323,3,49,Autumn,Monday
119,Etihad,KTM,JFK,2023-10-09,2023-10-10,2205,2,45,Autumn,Monday
120,China Southern,KTM,JFK,2023-10-09,2023-10-11,567,2,21,Autumn,Monday
121,Etihad,KTM,JFK,2023-10-09,2023-10-09,1764,2,36,Autumn,Monday
122,Turkish Airlines,KTM,JFK,2023-10-09,2023-10-11,1485,3,27,Autumn,Monday
123,Turkish Airlines,KTM,JFK,2023-10-09,2023-10-09,1155,2,21,Autumn,Monday
124,Korean Air,KTM,JFK,2023-10-09,2023-10-10,1862,2,38,Autumn,Monday
125,Qatar Airways,KTM,JFK,2023-10-09,2023-10-09,1500,1,50,Autumn,Monday
126,Emirates,KTM,JFK,2023-10-09,2023-10-09,756,3,28,Autumn,Monday
127,China Southern,KTM,JFK,2023-10-09,2023-10-09,1968,2,41,Autumn,Monday
128,Cathay Pacific,KTM,JFK,2023-10-09,2023-10-11,2795,1,43,Autumn,Monday
129,China Southern,KTM,JFK,2023-10-09,2023-10-12,1053,3,39,Autumn,Monday
130,Qatar Airways,KTM,JFK,2023-10-09,2023-10-12,1020,1,34,Autumn,Monday
131,Korean Air,KTM,JFK,2023-10-09,2023-10-10,1519,1,31,Autumn,Monday
132,Cathay Pacific,KTM,JFK,2023-10-09,2023-10-10,2275,2,35,Autumn,Monday
133,Korean Air,KTM,JFK,2023-10-09,2023-10-11,1911,3,39,Autumn,Monday
134,Emirates,KTM,JFK,2023-10-09,2023-10-10,1215,1,45,Autumn,Monday
135,Qatar Airways,KTM,JFK,2023-10-09,2023-10-10,870,1,29,Autumn,Monday
136,China Southern,KTM,JFK,2023-10-09,2023-10-09,1026,1,38,Autumn,Monday
137,Korean Air,KTM,JFK,2023-10-09,2023-10-10,1078,2,22,Autumn,Monday
138,Turkish Airlines,KTM,JFK,2023-10-09,2023-10-12,2750,2,50,Autumn,Monday
139,Cathay Pacific,KTM,JFK,2023-10-09,2023-10-10,3055,2,47,Autumn,Monday
140,Emirates,KTM,JFK,2023-10-09,2023-10-12,756,3,28,Autumn,Monday
141,Emirates,KTM,JFK,2023-10-09,2023-10-11,756,1,28,Autumn,Monday
142,Qatar Airways,KTM,JFK,2023-10-09,2023-10-09,840,2,28,Autumn,Monday
143,China Southern,KTM,JFK,2023-10-09,2023-10-09,918,1,34,Autumn,Monday
144,China Southern,KTM,JFK,2023-10-09,2023-10-11,1680,1,35,Autumn,Monday
145,Cathay Pacific,KTM,JFK,2023-10-09,2023-10-10,2275,2,35,Autumn,Monday
146,Qatar Airways,KTM,JFK,2023-10-10,2023-10-13,725,2,25,Autumn,Tuesday
147,Etihad,KTM,JFK,2023-10-10,2023-10-13,1380,3,30,Autumn,Tuesday
148,Turkish Airlines,KTM,JFK,2023-10-10,2023-10-12,1664,2,32,Autumn,Tuesday
149,China Southern,KTM,JFK,2023-10-10,2023-10-10,1978,1,43,Autumn,Tuesday
150,Etihad,KTM,JFK,2023-10-10,2023-10-11,1288,1,28,Autumn,Tuesday
151,Turkish Airlines,KTM,JFK,2023-10-10,2023-10-11,1612,2,31,Autumn,Tuesday
152,Korean Air,KTM,JFK,2023-10-10,2023-10-12,1316,3,28,Autumn,Tuesday
153,Emirates,KTM,JFK,2023-10-10,2023-10-12,1040,2,40,Autumn,Tuesday
154,Etihad,KTM,JFK,2023-10-10,2023-10-10,1886,3,41,Autumn,Tuesday
155,China Southern,KTM,JFK,2023-10-10,2023-10-10,1218,1,42,Autumn,Tuesday
156,Etihad,KTM,JFK,2023-10-10,2023-10-13,1794,2,39,Autumn,Tuesday
157,Turkish Airlines,KTM,JFK,2023-10-10,2023-10-10,1040,2,20,Autumn,Tuesday
158,Turkish Airlines,KTM,JFK,2023-10-10,2023-10-12,2340,2,45,Autumn,Tuesday
159,Korean Air,KTM,JFK,2023-10-10,2023-10-10,2021,1,43,Autumn,Tuesday
160,Qatar Airways,KTM,JFK,2023-10-10,2023-10-10,957,2,33,Autumn,Tuesday
161,Emirates,KTM,JFK,2023-10-10,2023-10-10,546,3,21,Autumn,Tuesday
162,China Southern,KTM,JFK,2023-10-10,2023-10-12,1886,1,41,Autumn,Tuesday
163,Cathay Pacific,KTM,JFK,2023-10-10,2023-10-13,1512,3,24,Autumn,Tuesday
164,China Southern,KTM,JFK,2023-10-10,2023-10-10,1073,3,37,Autumn,Tuesday
165,Qatar Airways,KTM,JFK,2023-10-10,2023-10-11,870,2,30,Autumn,Tuesday
166,Korean Air,KTM,JFK,2023-10-10,2023-10-13,2209,1,47,Autumn,Tuesday
167,Cathay Pacific,KTM,JFK,2023-10-10,2023-10-11,1386,3,22,Autumn,Tuesday
168,Korean Air,KTM,JFK,2023-10-10,2023-10-11,1880,2,40,Autumn,Tuesday
169,Emirates,KTM,JFK,2023-10-10,2023-10-10,572,1,22,Autumn,Tuesday
170,Qatar Airways,KTM,JFK,2023-10-10,2023-10-11,841,1,29,Autumn,Tuesday
171,China Southern,KTM,JFK,2023-10-10,2023-10-10,667,3,23,Autumn,Tuesday
172,Korean Air,KTM,JFK,2023-10-10,2023-10-12,1128,3,24,Autumn,Tuesday
173,Turkish Airlines,KTM,JFK,2023-10-10,2023-10-11,1248,3,24,Autumn,Tuesday
174,Cathay Pacific,KTM,JFK,2023-10-10,2023-10-11,2772,1,44,Autumn,Tuesday
175,Emirates,KTM,JFK,2023-10-10,2023-10-11,624,2,24,Autumn,Tuesday
176,Emirates,KTM,JFK,2023-10-10,2023-10-12,962,2,37,Autumn,Tuesday
177,Qatar Airways,KTM,JFK,2023-10-10,2023-10-11,696,1,24,Autumn,Tuesday
178,China Southern,KTM,JFK,2023-10-10,2023-10-10,609,2,21,Autumn,Tuesday
179,China Southern,KTM,JFK,2023-10-10,2023-10-10,1564,3,34,Autumn,Tuesday
180,Cathay Pacific,KTM,JFK,2023-10-10,2023-10-10,1323,1,21,Autumn,Tuesday
181,China Southern,KTM,JFK,2023-10-11,2023-10-12,1334,3,46,Autumn,Wednesday
182,China Southern,KTM,JFK,2023-10-11,2023-10-12,1656,2,36,Autumn,Wednesday
183,Korean Air,KTM,JFK,2023-10-11,2023-10-12,1739,2,37,Autumn,Wednesday
184,Cathay Pacific,KTM,JFK,2023-10-11,2023-10-12,1323,2,21,Autumn,Wednesday
185,Emirates,KTM,JFK,2023-10-11,2023-10-13,910,3,35,Autumn,Wednesday
186,Cathay Pacific,KTM,JFK,2023-10-11,2023-10-12,1890,1,30,Autumn,Wednesday
187,China Southern,KTM,JFK,2023-10-11,2023-10-12,2024,3,44,Autumn,Wednesday
188,Qatar Airways,KTM,JFK,2023-10-11,2023-10-13,1218,1,42,Autumn,Wednesday
189,China Southern,KTM,JFK,2023-10-11,2023-10-11,1189,2,41,Autumn,Wednesday
190,Korean Air,KTM,JFK,2023-10-11,2023-10-13,1739,3,37,Autumn,Wednesday
191,Korean Air,KTM,JFK,2023-10-11,2023-10-12,1833,1,39,Autumn,Wednesday
192,China Southern,KTM,JFK,2023-10-11,2023-10-13,2254,2,49,Autumn,Wednesday
193,China Southern,KTM,JFK,2023-10-11,2023-10-13,2070,3,45,Autumn,Wednesday
194,Emirates,KTM,JFK,2023-10-11,2023-10-12,936,3,36,Autumn,Wednesday
195,Etihad,KTM,JFK,2023-10-11,2023-10-14,1610,3,35,Autumn,Wednesday
196,Qatar Airways,KTM,JFK,2023-10-11,2023-10-11,1276,2,44,Autumn,Wednesday
197,Turkish Airlines,KTM,JFK,2023-10-11,2023-10-11,1508,1,29,Autumn,Wednesday
198,Korean Air,KTM,JFK,2023-10-11,2023-10-11,2068,2,44,Autumn,Wednesday
199,Qatar Airways,KTM,JFK,2023-10-11,2023-10-11,1363,3,47,Autumn,Wednesday
200,China Southern,KTM,JFK,2023-10-11,2023-10-13,841,2,29,Autumn,Wednesday
201,China Southern,KTM,JFK,2023-10-13,2023-10-15,1590,2,30,Autumn,Friday
202,Emirates,KTM,JFK,2023-10-13,2023-10-14,924,1,33,Autumn,Friday
203,Cathay Pacific,KTM,JFK,2023-10-13,2023-10-16,2516,2,37,Autumn,Friday
204,Emirates,KTM,JFK,2023-10-13,2023-10-15,1092,3,39,Autumn,Friday
205,Korean Air,KTM,JFK,2023-10-13,2023-10-16,2205,2,49,Autumn,Friday
206,Korean Air,KTM,JFK,2023-10-13,2023-10-14,1125,1,25,Autumn,Friday
207,Etihad,KTM,JFK,2023-10-13,2023-10-15,2548,3,49,Autumn,Friday
208,Cathay Pacific,KTM,JFK,2023-10-13,2023-10-14,3060,3,45,Autumn,Friday
209,China Southern,KTM,JFK,2023-10-13,2023-10-15,1152,2,36,Autumn,Friday
210,Korean Air,KTM,JFK,2023-10-13,2023-10-13,1575,2,35,Autumn,Friday
211,Qatar Airways,KTM,JFK,2023-10-13,2023-10-13,1536,1,48,Autumn,Friday
212,Turkish Airlines,KTM,JFK,2023-10-13,2023-10-14,1888,3,32,Autumn,Friday
213,Emirates,KTM,JFK,2023-10-13,2023-10-14,1092,2,39,Autumn,Friday
214,Emirates,KTM,JFK,2023-10-13,2023-10-15,1120,2,40,Autumn,Friday
215,Qatar Airways,KTM,JFK,2023-10-13,2023-10-13,832,2,26,Autumn,Friday
216,Korean Air,KTM,JFK,2023-10-13,2023-10-16,1845,2,41,Autumn,Friday
217,Etihad,KTM,JFK,2023-10-13,2023-10-15,1196,3,23,Autumn,Friday
218,Turkish Airlines,KTM,JFK,2023-10-13,2023-10-13,2006,3,34,Autumn,Friday
219,Qatar Airways,KTM,JFK,2023-10-13,2023-10-13,1088,3,34,Autumn,Friday
220,Emirates,KTM,JFK,2023-10-13,2023-10-16,1204,2,43,Autumn,Friday
221,Qatar Airways,KTM,JFK,2023-10-13,2023-10-15,704,2,22,Autumn,Friday
222,Qatar Airways,KTM,JFK,2023-10-13,2023-10-14,1024,1,32,Autumn,Friday
223,Korean Air,KTM,JFK,2023-10-13,2023-10-15,1440,2,32,Autumn,Friday
224,China Southern,KTM,JFK,2023-10-13,2023-10-13,2491,3,47,Autumn,Friday
225,Qatar Airways,KTM,JFK,2023-10-13,2023-10-15,672,2,21,Autumn,Friday
226,Korean Air,KTM,JFK,2023-10-13,2023-10-16,2205,1,49,Autumn,Friday
227,Turkish Airlines,KTM,JFK,2023-10-14,2023-10-17,1736,1,28,Autumn,Saturday
228,China Southern,KTM,JFK,2023-10-14,2023-10-15,1452,1,44,Autumn,Saturday
229,Cathay Pacific,KTM,JFK,2023-10-14,2023-10-14,1750,1,25,Autumn,Saturday
230,China Southern,KTM,JFK,2023-10-14,2023-10-15,1485,1,45,Autumn,Saturday
231,Turkish Airlines,KTM,JFK,2023-10-14,2023-10-14,1984,2,32,Autumn,Saturday
232,Korean Air,KTM,JFK,2023-10-14,2023-10-16,2112,1,44,Autumn,Saturday
233,China Southern,KTM,JFK,2023-10-14,2023-10-17,1539,3,27,Autumn,Saturday
234,Korean Air,KTM,JFK,2023-10-14,2023-10-15,1776,1,37,Autumn,Saturday
235,Qatar Airways,KTM,JFK,2023-10-14,2023-10-14,1470,1,42,Autumn,Saturday
236,Etihad,KTM,JFK,2023-10-14,2023-10-14,1392,1,29,Autumn,Saturday
237,China Southern,KTM,JFK,2023-10-14,2023-10-14,2394,1,42,Autumn,Saturday
238,Korean Air,KTM,JFK,2023-10-14,2023-10-17,1488,2,31,Autumn,Saturday
239,Qatar Airways,KTM,JFK,2023-10-14,2023-10-15,1330,3,38,Autumn,Saturday
240,Turkish Airlines,KTM,JFK,2023-10-14,2023-10-16,3100,3,50,Autumn,Saturday
241,China Southern,KTM,JFK,2023-10-14,2023-10-16,759,2,23,Autumn,Saturday
242,Cathay Pacific,KTM,JFK,2023-10-14,2023-10-15,1960,3,28,Autumn,Saturday
243,Turkish Airlines,KTM,JFK,2023-10-14,2023-10-16,2914,3,47,Autumn,Saturday
244,Emirates,KTM,JFK,2023-10-14,2023-10-16,806,1,26,Autumn,Saturday
245,Emirates,KTM,JFK,2023-10-14,2023-10-17,992,2,32,Autumn,Saturday
246,Emirates,KTM,JFK,2023-10-14,2023-10-16,961,3,31,Autumn,Saturday
247,Qatar Airways,KTM,JFK,2023-10-14,2023-10-17,735,3,21,Autumn,Saturday
248,Korean Air,KTM,JFK,2023-10-14,2023-10-16,1920,2,40,Autumn,Saturday
249,Korean Air,KTM,JFK,2023-10-14,2023-10-14,1488,1,31,Autumn,Saturday
250,Qatar Airways,KTM,JFK,2023-10-14,2023-10-14,1610,1,46,Autumn,Saturday
251,Turkish Airlines,KTM,JFK,2023-10-14,2023-10-17,1550,2,25,Autumn,Saturday
252,Turkish Airlines,KTM,JFK,2023-10-17,2023-10-20,1475,1,25,Autumn,Tuesday
253,China Southern,KTM,JFK,2023-10-17,2023-10-19,1054,3,34,Autumn,Tuesday
254,Cathay Pacific,KTM,JFK,2023-10-17,2023-10-20,2535,2,39,Autumn,Tuesday
255,China Southern,KTM,JFK,2023-10-17,2023-10-17,1302,3,42,Autumn,Tuesday
256,Turkish Airlines,KTM,JFK,2023-10-17,2023-10-19,1180,1,20,Autumn,Tuesday
257,Korean Air,KTM,JFK,2023-10-17,2023-10-17,1188,3,27,Autumn,Tuesday
258,China Southern,KTM,JFK,2023-10-17,2023-10-18,1802,2,34,Autumn,Tuesday
259,Korean Air,KTM,JFK,2023-10-17,2023-10-17,2200,1,50,Autumn,Tuesday
260,Qatar Airways,KTM,JFK,2023-10-17,2023-10-19,1080,3,36,Autumn,Tuesday
261,Etihad,KTM,JFK,2023-10-17,2023-10-17,1176,2,28,Autumn,Tuesday
262,China Southern,KTM,JFK,2023-10-17,2023-10-20,1272,1,24,Autumn,Tuesday
263,Korean Air,KTM,JFK,2023-10-17,2023-10-18,1760,3,40,Autumn,Tuesday
264,Qatar Airways,KTM,JFK,2023-10-17,2023-10-17,1170,3,39,Autumn,Tuesday
265,Turkish Airlines,KTM,JFK,2023-10-17,2023-10-20,2065,3,35,Autumn,Tuesday
266,China Southern,KTM,JFK,2023-10-17,2023-10-17,806,2,26,Autumn,Tuesday
267,Cathay Pacific,KTM,JFK,2023-10-17,2023-10-18,2275,3,35,Autumn,Tuesday
268,Turkish Airlines,KTM,JFK,2023-10-17,2023-10-18,1180,2,20,Autumn,Tuesday
269,Emirates,KTM,JFK,2023-10-17,2023-10-18,918,2,34,Autumn,Tuesday
270,Emirates,KTM,JFK,2023-10-17,2023-10-18,999,2,37,Autumn,Tuesday
271,Emirates,KTM,JFK,2023-10-17,2023-10-17,648,2,24,Autumn,Tuesday
272,Qatar Airways,KTM,JFK,2023-10-17,2023-10-20,1170,3,39,Autumn,Tuesday
273,Korean Air,KTM,JFK,2023-10-17,2023-10-18,1452,2,33,Autumn,Tuesday
274,Korean Air,KTM,JFK,2023-10-17,2023-10-18,880,3,20,Autumn,Tuesday
275,Qatar Airways,KTM,JFK,2023-10-17,2023-10-18,1470,2,49,Autumn,Tuesday
276,Turkish Airlines,KTM,JFK,2023-10-17,2023-10-20,2478,3,42,Autumn,Tuesday
277,China Southern,KTM,JFK,2023-10-19,2023-10-23,1224,3,34,Autumn,Thursday
278,Qatar Airways,KTM,JFK,2023-10-19,2023-10-20,957,2,29,Autumn,Thursday
279,Cathay Pacific,KTM,JFK,2023-10-19,2023-10-20,2312,1,34,Autumn,Thursday
280,Korean Air,KTM,JFK,2023-10-19,2023-10-23,1316,1,28,Autumn,Thursday
281,Etihad,KTM,JFK,2023-10-19,2023-10-22,1530,3,34,Autumn,Thursday
282,Emirates,KTM,JFK,2023-10-19,2023-10-23,810,1,27,Autumn,Thursday
283,Etihad,KTM,JFK,2023-10-19,2023-10-19,1665,3,37,Autumn,Thursday
284,Etihad,KTM,JFK,2023-10-19,2023-10-22,2115,2,47,Autumn,Thursday
285,Korean Air,KTM,JFK,2023-10-19,2023-10-20,1833,1,39,Autumn,Thursday
286,China Southern,KTM,JFK,2023-10-19,2023-10-23,2296,2,41,Autumn,Thursday
287,Korean Air,KTM,JFK,2023-10-19,2023-10-19,1645,3,35,Autumn,Thursday
288,Etihad,KTM,JFK,2023-10-19,2023-10-19,2205,1,49,Autumn,Thursday
289,Turkish Airlines,KTM,JFK,2023-10-19,2023-10-20,2501,2,41,Autumn,Thursday
290,Cathay Pacific,KTM,JFK,2023-10-19,2023-10-19,2312,1,34,Autumn,Thursday
291,Turkish Airlines,KTM,JFK,2023-10-19,2023-10-22,2440,1,40,Autumn,Thursday
292,Turkish Airlines,KTM,JFK,2023-10-19,2023-10-19,1830,3,30,Autumn,Thursday
